ar,kvartal,diagnoskapitel_kod,diagnoskapitel_text,antal,andel,antal_kvinnor,andel_kvinnor,antal_man,andel_man
2005,2,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",2434,1.11,1489,1.07,945,1.18
2005,2,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,65059,29.7,45391,32.6,19668,24.6
2005,2,G00-G99,Sjukdomar i nervsystemet,5849,2.67,3729,2.68,2120,2.65
2005,2,H00-H59,Sjukdomar i ögat och närliggande organ,870,0.4,464,0.33,406,0.51
2005,2,H60-H95,Sjukdomar i örat och mastoidutskottet,1642,0.75,956,0.69,686,0.86
2005,2,I00-I99,Cirkulationsorganens sjukdomar,9895,4.52,3761,2.7,6134,7.68
2005,2,J00-J99,Andningsorganens sjukdomar,2662,1.22,1615,1.16,1047,1.31
2005,2,K00-K93,Matsmältningsorganens sjukdomar,3523,1.61,1990,1.43,1533,1.92
2005,2,L00-L99,Hudens och underhudens sjukdomar,1508,0.69,949,0.68,559,0.7
2005,2,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,66761,30.5,41926,30.1,24835,31.1
2005,2,N00-N99,Sjukdomar i urin- och könsorganen,1451,0.66,918,0.66,533,0.67
2005,2,O00-O99,"Graviditet, förlossning och barnsängstid",3468,1.58,3468,2.49,-,-
2005,2,P00-P96,Vissa perinatala tillstånd,..,..,16,0.01,..,..
2005,2,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",283,0.13,168,0.12,115,0.14
2005,2,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",7944,3.63,5415,3.89,2529,3.17
2005,2,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",14220,6.5,6545,4.71,7675,9.61
2005,2,U00-U99,Koder för särskilda ändamål,-,-,-,-,-,-
2005,2,V01-Y98,Yttre orsaker till sjukdom och död,..,..,53,0.04,..,..
2005,2,Z00-Z99,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården,4808,2.2,3391,2.44,1417,1.77
2005,2,-00--99,Saknas/Okänd,15841,7.24,10033,7.21,5808,7.27
2005,3,Samtliga,Samtliga,209055,100,132668,100,76387,100
2005,3,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,1163,0.56,650,0.49,513,0.67
2005,3,C00-D48,Tumörer,8876,4.25,5783,4.36,3093,4.05
2005,3,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,570,0.27,372,0.28,198,0.26
2005,3,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",2298,1.1,1415,1.07,883,1.16
2005,3,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,61405,29.4,42793,32.3,18612,24.4
2005,3,G00-G99,Sjukdomar i nervsystemet,5790,2.77,3667,2.76,2123,2.78
2005,3,H00-H59,Sjukdomar i ögat och närliggande organ,893,0.43,485,0.37,408,0.53
2005,3,H60-H95,Sjukdomar i örat och mastoidutskottet,1663,0.8,996,0.75,667,0.87
2005,3,I00-I99,Cirkulationsorganens sjukdomar,9774,4.68,3747,2.82,6027,7.89
2005,3,J00-J99,Andningsorganens sjukdomar,2829,1.35,1751,1.32,1078,1.41
2005,3,K00-K93,Matsmältningsorganens sjukdomar,3598,1.72,1995,1.5,1603,2.1
2005,3,L00-L99,Hudens och underhudens sjukdomar,1538,0.74,976,0.74,562,0.74
2005,3,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,63570,30.4,40006,30.2,23564,30.8
2005,3,N00-N99,Sjukdomar i urin- och könsorganen,1475,0.71,948,0.71,527,0.69
2005,3,O00-O99,"Graviditet, förlossning och barnsängstid",3472,1.66,3472,2.62,-,-
2005,3,P00-P96,Vissa perinatala tillstånd,30,0.01,18,0.01,12,0.02
2005,3,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",272,0.13,159,0.12,113,0.15
2005,3,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",7772,3.72,5257,3.96,2515,3.29
2005,3,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",14049,6.72,6410,4.83,7639,10
2005,3,U00-U99,Koder för särskilda ändamål,-,-,-,-,-,-
2005,3,V01-Y98,Yttre orsaker till sjukdom och död,81,0.04,45,0.03,36,0.05
2005,3,Z00-Z99,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården,4434,2.12,3147,2.37,1287,1.68
2005,3,-00--99,Saknas/Okänd,13503,6.46,8576,6.46,4927,6.45
2005,4,Samtliga,Samtliga,211853,100,134456,100,77397,100
2005,4,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,1143,0.54,632,0.47,511,0.66
2005,4,C00-D48,Tumörer,8937,4.22,5830,4.34,3107,4.01
2005,4,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,598,0.28,401,0.3,197,0.25
2005,4,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",2355,1.11,1448,1.08,907,1.17
2005,4,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,64290,30.3,44879,33.4,19411,25.1
2005,4,G00-G99,Sjukdomar i nervsystemet,6001,2.83,3783,2.81,2218,2.87
2005,4,H00-H59,Sjukdomar i ögat och närliggande organ,904,0.43,486,0.36,418,0.54
2005,4,H60-H95,Sjukdomar i örat och mastoidutskottet,1628,0.77,979,0.73,649,0.84
2005,4,I00-I99,Cirkulationsorganens sjukdomar,10111,4.77,3868,2.88,6243,8.07
2005,4,J00-J99,Andningsorganens sjukdomar,2803,1.32,1734,1.29,1069,1.38
2005,4,K00-K93,Matsmältningsorganens sjukdomar,3704,1.75,2000,1.49,1704,2.2
2005,4,L00-L99,Hudens och underhudens sjukdomar,1507,0.71,957,0.71,550,0.71
2005,4,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,64429,30.4,40298,30,24131,31.2
2005,4,N00-N99,Sjukdomar i urin- och könsorganen,1532,0.72,990,0.74,542,0.7
2005,4,O00-O99,"Graviditet, förlossning och barnsängstid",4016,1.9,4016,2.99,-,-
2005,4,P00-P96,Vissa perinatala tillstånd,30,0.01,17,0.01,13,0.02
2005,4,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",278,0.13,168,0.12,110,0.14
2005,4,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",7771,3.67,5300,3.94,2471,3.19
2005,4,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",13942,6.58,6372,4.74,7570,9.78
2005,4,U00-U99,Koder för särskilda ändamål,-,-,-,-,-,-
2005,4,V01-Y98,Yttre orsaker till sjukdom och död,81,0.04,44,0.03,37,0.05
2005,4,Z00-Z99,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården,4412,2.08,3084,2.29,1328,1.72
2005,4,-00--99,Saknas/Okänd,11381,5.37,7170,5.33,4211,5.44
2006,1,Samtliga,Samtliga,214904,100,136933,100,77971,100
2006,1,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,1186,0.55,675,0.49,511,0.66
2006,1,C00-D48,Tumörer,9279,4.32,6049,4.42,3230,4.14
2006,1,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,583,0.27,402,0.29,181,0.23
2006,1,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",2428,1.13,1496,1.09,932,1.2
2006,1,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,64716,30.1,45120,33,19596,25.1
2006,1,G00-G99,Sjukdomar i nervsystemet,6148,2.86,3896,2.85,2252,2.89
2006,1,H00-H59,Sjukdomar i ögat och närliggande organ,960,0.45,499,0.36,461,0.59
2006,1,H60-H95,Sjukdomar i örat och mastoidutskottet,1749,0.81,1076,0.79,673,0.86
2006,1,I00-I99,Cirkulationsorganens sjukdomar,10351,4.82,4042,2.95,6309,8.09
2006,1,J00-J99,Andningsorganens sjukdomar,3125,1.45,1907,1.39,1218,1.56
2006,1,K00-K93,Matsmältningsorganens sjukdomar,3878,1.8,2160,1.58,1718,2.2
2006,1,L00-L99,Hudens och underhudens sjukdomar,1534,0.71,959,0.7,575,0.74
2006,1,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,64629,30.1,40539,29.6,24090,30.9
2006,1,N00-N99,Sjukdomar i urin- och könsorganen,1641,0.76,1098,0.8,543,0.7
2006,1,O00-O99,"Graviditet, förlossning och barnsängstid",4246,1.98,4246,3.1,-,-
2006,1,P00-P96,Vissa perinatala tillstånd,34,0.02,21,0.02,13,0.02
2006,1,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",294,0.14,178,0.13,116,0.15
2006,1,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",7996,3.72,5445,3.98,2551,3.27
2006,1,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",15127,7.04,7398,5.4,7729,9.91
2006,1,U00-U99,Koder för särskilda ändamål,-,-,-,-,-,-
2006,1,V01-Y98,Yttre orsaker till sjukdom och död,77,0.04,39,0.03,38,0.05
2006,1,Z00-Z99,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården,4306,2,3016,2.2,1290,1.65
2006,1,-00--99,Saknas/Okänd,10617,4.94,6672,4.87,3945,5.06
2006,2,Samtliga,Samtliga,199800,100,126196,100,73604,100
2006,2,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,1093,0.55,595,0.47,498,0.68
2006,2,C00-D48,Tumörer,9139,4.57,5964,4.73,3175,4.31
2006,2,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,566,0.28,374,0.3,192,0.26
2006,2,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",2246,1.12,1354,1.07,892,1.21
2006,2,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,61323,30.7,42693,33.8,18630,25.3
2006,2,G00-G99,Sjukdomar i nervsystemet,5885,2.95,3718,2.95,2167,2.94
2006,2,H00-H59,Sjukdomar i ögat och närliggande organ,878,0.44,447,0.35,431,0.59
2006,2,H60-H95,Sjukdomar i örat och mastoidutskottet,1567,0.78,946,0.75,621,0.84
2006,2,I00-I99,Cirkulationsorganens sjukdomar,9830,4.92,3836,3.04,5994,8.14
2006,2,J00-J99,Andningsorganens sjukdomar,2511,1.26,1510,1.2,1001,1.36
2006,2,K00-K93,Matsmältningsorganens sjukdomar,3506,1.75,1955,1.55,1551,2.11
2006,2,L00-L99,Hudens och underhudens sjukdomar,1410,0.71,853,0.68,557,0.76
2006,2,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,60769,30.4,37968,30.1,22801,31
2006,2,N00-N99,Sjukdomar i urin- och könsorganen,1495,0.75,954,0.76,541,0.74
2006,2,O00-O99,"Graviditet, förlossning och barnsängstid",3365,1.68,3365,2.67,-,-
2006,2,P00-P96,Vissa perinatala tillstånd,..,..,14,0.01,..,..
2006,2,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",287,0.14,176,0.14,111,0.15
2006,2,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",7384,3.7,4988,3.95,2396,3.26
2006,2,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",13943,6.98,6404,5.07,7539,10.2
2006,2,U00-U99,Koder för särskilda ändamål,-,-,-,-,-,-
2006,2,V01-Y98,Yttre orsaker till sjukdom och död,..,..,36,0.03,..,..
2006,2,Z00-Z99,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården,3868,1.94,2690,2.13,1178,1.6
2006,2,-00--99,Saknas/Okänd,8635,4.32,5356,4.24,3279,4.45
2006,3,Samtliga,Samtliga,194379,100,122912,100,71467,100
2006,3,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,1191,0.61,656,0.53,535,0.75
2006,3,C00-D48,Tumörer,9069,4.67,5935,4.83,3134,4.39
2006,3,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,579,0.3,404,0.33,175,0.24
2006,3,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",2209,1.14,1327,1.08,882,1.23
2006,3,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,59433,30.6,41237,33.6,18196,25.5
2006,3,G00-G99,Sjukdomar i nervsystemet,5818,2.99,3724,3.03,2094,2.93
2006,3,H00-H59,Sjukdomar i ögat och närliggande organ,896,0.46,472,0.38,424,0.59
2006,3,H60-H95,Sjukdomar i örat och mastoidutskottet,1587,0.82,989,0.8,598,0.84
2006,3,I00-I99,Cirkulationsorganens sjukdomar,9774,5.03,3845,3.13,5929,8.3
2006,3,J00-J99,Andningsorganens sjukdomar,2671,1.37,1613,1.31,1058,1.48
2006,3,K00-K93,Matsmältningsorganens sjukdomar,3500,1.8,1985,1.61,1515,2.12
2006,3,L00-L99,Hudens och underhudens sjukdomar,1384,0.71,858,0.7,526,0.74
2006,3,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,59143,30.4,37071,30.2,22072,30.9
2006,3,N00-N99,Sjukdomar i urin- och könsorganen,1506,0.77,970,0.79,536,0.75
2006,3,O00-O99,"Graviditet, förlossning och barnsängstid",3524,1.81,3524,2.87,-,-
2006,3,P00-P96,Vissa perinatala tillstånd,..,..,16,0.01,..,..
2006,3,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",280,0.14,165,0.13,115,0.16
2006,3,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",7324,3.77,4885,3.97,2439,3.41
2006,3,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",13601,7,6228,5.07,7373,10.3
2006,3,U00-U99,Koder för särskilda ändamål,-,-,-,-,-,-
2006,3,V01-Y98,Yttre orsaker till sjukdom och död,..,..,36,0.03,..,..
2006,3,Z00-Z99,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården,3534,1.82,2492,2.03,1042,1.46
2006,3,-00--99,Saknas/Okänd,7256,3.73,4480,3.64,2776,3.88
2006,4,Samtliga,Samtliga,194471,100,123045,100,71426,100
2006,4,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,1151,0.59,646,0.53,505,0.71
2006,4,C00-D48,Tumörer,9021,4.64,5905,4.8,3116,4.36
2006,4,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,577,0.3,388,0.32,189,0.26
2006,4,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",2260,1.16,1392,1.13,868,1.22
2006,4,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,61204,31.5,42642,34.7,18562,26
2006,4,G00-G99,Sjukdomar i nervsystemet,5868,3.02,3769,3.06,2099,2.94
2006,4,H00-H59,Sjukdomar i ögat och närliggande organ,890,0.46,479,0.39,411,0.58
2006,4,H60-H95,Sjukdomar i örat och mastoidutskottet,1529,0.79,969,0.79,560,0.78
2006,4,I00-I99,Cirkulationsorganens sjukdomar,9801,5.04,3820,3.1,5981,8.37
2006,4,J00-J99,Andningsorganens sjukdomar,2792,1.44,1722,1.4,1070,1.5
2006,4,K00-K93,Matsmältningsorganens sjukdomar,3549,1.82,1931,1.57,1618,2.27
2006,4,L00-L99,Hudens och underhudens sjukdomar,1368,0.7,824,0.67,544,0.76
2006,4,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,58675,30.2,36583,29.7,22092,30.9
2006,4,N00-N99,Sjukdomar i urin- och könsorganen,1479,0.76,954,0.78,525,0.74
2006,4,O00-O99,"Graviditet, förlossning och barnsängstid",3699,1.9,3699,3.01,-,-
2006,4,P00-P96,Vissa perinatala tillstånd,26,0.01,15,0.01,11,0.02
2006,4,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",292,0.15,180,0.15,112,0.16
2006,4,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",7344,3.78,4931,4.01,2413,3.38
2006,4,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",13187,6.78,5899,4.79,7288,10.2
2006,4,U00-U99,Koder för särskilda ändamål,-,-,-,-,-,-
2006,4,V01-Y98,Yttre orsaker till sjukdom och död,84,0.04,35,0.03,49,0.07
2006,4,Z00-Z99,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården,3453,1.78,2413,1.96,1040,1.46
2006,4,-00--99,Saknas/Okänd,6222,3.2,3849,3.13,2373,3.32
2007,1,Samtliga,Samtliga,188503,100,120141,100,68362,100
2007,1,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,1144,0.61,664,0.55,480,0.7
2007,1,C00-D48,Tumörer,9124,4.84,6069,5.05,3055,4.47
2007,1,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,554,0.29,379,0.32,175,0.26
2007,1,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",2170,1.15,1300,1.08,870,1.27
2007,1,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,59362,31.5,41456,34.5,17906,26.2
2007,1,G00-G99,Sjukdomar i nervsystemet,5631,2.99,3650,3.04,1981,2.9
2007,1,H00-H59,Sjukdomar i ögat och närliggande organ,865,0.46,477,0.4,388,0.57
2007,1,H60-H95,Sjukdomar i örat och mastoidutskottet,1451,0.77,923,0.77,528,0.77
2007,1,I00-I99,Cirkulationsorganens sjukdomar,9598,5.09,3740,3.11,5858,8.57
2007,1,J00-J99,Andningsorganens sjukdomar,2903,1.54,1832,1.52,1071,1.57
2007,1,K00-K93,Matsmältningsorganens sjukdomar,3507,1.86,1909,1.59,1598,2.34
2007,1,L00-L99,Hudens och underhudens sjukdomar,1325,0.7,806,0.67,519,0.76
2007,1,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,55663,29.5,34945,29.1,20718,30.3
2007,1,N00-N99,Sjukdomar i urin- och könsorganen,1467,0.78,942,0.78,525,0.77
2007,1,O00-O99,"Graviditet, förlossning och barnsängstid",3902,2.07,3902,3.25,-,-
2007,1,P00-P96,Vissa perinatala tillstånd,..,..,16,0.01,..,..
2007,1,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",278,0.15,176,0.15,102,0.15
2007,1,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",7032,3.73,4819,4.01,2213,3.24
2007,1,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",13290,7.05,6233,5.19,7057,10.3
2007,1,U00-U99,Koder för särskilda ändamål,-,-,-,-,-,-
2007,1,V01-Y98,Yttre orsaker till sjukdom och död,..,..,26,0.02,..,..
2007,1,Z00-Z99,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården,3141,1.67,2182,1.82,959,1.4
2007,1,-00--99,Saknas/Okänd,6009,3.19,3695,3.08,2314,3.38
2007,2,Samtliga,Samtliga,175965,100,111391,100,64574,100
2007,2,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,1083,0.62,618,0.55,465,0.72
2007,2,C00-D48,Tumörer,8765,4.98,5770,5.18,2995,4.64
2007,2,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,526,0.3,363,0.33,163,0.25
2007,2,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",2006,1.14,1204,1.08,802,1.24
2007,2,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,56203,31.9,39288,35.3,16915,26.2
2007,2,G00-G99,Sjukdomar i nervsystemet,5383,3.06,3463,3.11,1920,2.97
2007,2,H00-H59,Sjukdomar i ögat och närliggande organ,814,0.46,450,0.4,364,0.56
2007,2,H60-H95,Sjukdomar i örat och mastoidutskottet,1291,0.73,817,0.73,474,0.73
2007,2,I00-I99,Cirkulationsorganens sjukdomar,9052,5.14,3489,3.13,5563,8.61
2007,2,J00-J99,Andningsorganens sjukdomar,2199,1.25,1357,1.22,842,1.3
2007,2,K00-K93,Matsmältningsorganens sjukdomar,3200,1.82,1755,1.58,1445,2.24
2007,2,L00-L99,Hudens och underhudens sjukdomar,1209,0.69,723,0.65,486,0.75
2007,2,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,52196,29.7,32703,29.4,19493,30.2
2007,2,N00-N99,Sjukdomar i urin- och könsorganen,1302,0.74,819,0.74,483,0.75
2007,2,O00-O99,"Graviditet, förlossning och barnsängstid",3220,1.83,3220,2.89,-,-
2007,2,P00-P96,Vissa perinatala tillstånd,..,..,12,0.01,..,..
2007,2,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",254,0.14,152,0.14,102,0.16
2007,2,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",6379,3.63,4340,3.9,2039,3.16
2007,2,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",12803,7.28,5684,5.1,7119,11
2007,2,U00-U99,Koder för särskilda ändamål,-,-,-,-,-,-
2007,2,V01-Y98,Yttre orsaker till sjukdom och död,..,..,29,0.03,..,..
2007,2,Z00-Z99,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården,2884,1.64,2007,1.8,877,1.36
2007,2,-00--99,Saknas/Okänd,5113,2.91,3128,2.81,1985,3.07
2007,3,Samtliga,Samtliga,167358,100,106004,100,61354,100
2007,3,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,1120,0.67,635,0.6,485,0.79
2007,3,C00-D48,Tumörer,8882,5.31,5834,5.5,3048,4.97
2007,3,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,473,0.28,309,0.29,164,0.27
2007,3,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",1943,1.16,1177,1.11,766,1.25
2007,3,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,52911,31.6,36871,34.8,16040,26.1
2007,3,G00-G99,Sjukdomar i nervsystemet,5259,3.14,3338,3.15,1921,3.13
2007,3,H00-H59,Sjukdomar i ögat och närliggande organ,814,0.49,430,0.41,384,0.63
2007,3,H60-H95,Sjukdomar i örat och mastoidutskottet,1277,0.76,840,0.79,437,0.71
2007,3,I00-I99,Cirkulationsorganens sjukdomar,8669,5.18,3317,3.13,5352,8.72
2007,3,J00-J99,Andningsorganens sjukdomar,2260,1.35,1401,1.32,859,1.4
2007,3,K00-K93,Matsmältningsorganens sjukdomar,3152,1.88,1732,1.63,1420,2.31
2007,3,L00-L99,Hudens och underhudens sjukdomar,1159,0.69,711,0.67,448,0.73
2007,3,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,49317,29.5,31076,29.3,18241,29.7
2007,3,N00-N99,Sjukdomar i urin- och könsorganen,1318,0.79,837,0.79,481,0.78
2007,3,O00-O99,"Graviditet, förlossning och barnsängstid",3356,2.01,3356,3.17,-,-
2007,3,P00-P96,Vissa perinatala tillstånd,21,0.01,11,0.01,10,0.02
2007,3,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",236,0.14,146,0.14,90,0.15
2007,3,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",6069,3.63,4105,3.87,1964,3.2
2007,3,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",12226,7.31,5489,5.18,6737,11
2007,3,U00-U99,Koder för särskilda ändamål,-,-,-,-,-,-
2007,3,V01-Y98,Yttre orsaker till sjukdom och död,66,0.04,30,0.03,36,0.06
2007,3,Z00-Z99,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården,2594,1.55,1765,1.67,829,1.35
2007,3,-00--99,Saknas/Okänd,4236,2.53,2594,2.45,1642,2.68
2007,4,Samtliga,Samtliga,164192,100,103319,100,60873,100
2007,4,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,1145,0.7,635,0.61,510,0.84
2007,4,C00-D48,Tumörer,9057,5.52,5964,5.77,3093,5.08
2007,4,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,448,0.27,300,0.29,148,0.24
2007,4,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",1886,1.15,1173,1.14,713,1.17
